scaled_shares,prev_max_mag,new_max_mag,slashed_amount,theoretical_result,error,relative_error_percent,magnitude_ratio,slash_percentage,slash_range
1939.0,4572.0,330.0,0.0,8.225238e-12,8.225238e-12,100.0,0.07217847769028872,92.78215223097112,90-100%
11592.0,6576119494633.0,396728903.0,0.0,0.07622577830034216,0.07622577830034216,100.0,6.0328724762952414e-05,99.9939671275237,90-100%
2043.0,1348.0,939.0,0.0,8.35587e-13,8.35587e-13,100.0,0.6965875370919882,30.341246290801188,25-50%
1278.0,3879.0,224.0,0.0,4.67109e-12,4.67109e-12,100.0,0.05774684196957979,94.22531580304202,90-100%
254.0,1313373041.0,4087.0,0.0,3.33595714316e-07,3.33595714316e-07,100.0,3.1118348499739e-06,99.999688816515,90-100%
232.0,4594636.0,6081.0,0.0,1.06454476e-09,1.06454476e-09,100.0,0.0013234998376367574,99.86765001623633,90-100%
23.0,4164.0,28.0,0.0,9.5128e-14,9.5128e-14,100.0,0.0067243035542747355,99.32756964457252,90-100%
1915072024367.0,935254330587.0,1.0,1791079.0,1791079.4041733344,0.40417333446538906,2.2565908218454092e-05,1.0692278744888176e-12,99.99999999989308,90-100%
5.981108661456461e+17,69652746316135.0,2.0,41660064428565.0,41660064428565.266,0.2692564121385313,6.46317800588683e-13,2.871387139456842e-14,99.99999999999713,90-100%
6124.0,6051.0,5815.0,0.0,1.445264e-12,1.445264e-12,100.0,0.9609981821186581,3.9001817881341925,0-10%
1.2833274009495915e+29,46990067.0,6974.0,6.029469062826295e+18,6.029469062826294e+18,424.34905,7.037917361849564e-15,0.00014841434467416272,99.98515856553259,90-100%
4170.0,577346973.0,225.0,0.0,2.40753593916e-06,2.40753593916e-06,100.0,3.8971365664369733e-07,99.99996102863433,90-100%
224993292.0,1351071041933763.0,37493867.0,303981.0,303981.9130146788,0.9130146788171777,0.0003003516458471296,2.7751217986535867e-08,99.9999972248782,90-100%
880824792.0,16.0,8.0,0.0,7.046598336e-09,7.046598336e-09,100.0,0.5,50.0,25-50%
1883440.0,8162846697741262.0,2038006804568.0,15370.0,15370.393520857808,0.39352085780694734,0.0025602523271309537,0.0002496686364490878,99.9750331363551,90-100%
61655905953.0,3189322448363473.0,212.0,196640564.0,196640564.93007693,0.9300769189963928,4.7298324195067134e-07,6.647179876991832e-14,99.99999999999335,90-100%
782.0,4119.0,0.0,0.0,3.221058e-12,3.221058e-12,100.0,0.0,100.0,90-100%
561.0,2439649222.0,5738.0,0.0,1.368639994524e-06,1.368639994524e-06,100.0,2.3519774680132274e-06,99.9997648022532,90-100%
6.918551520166362e+26,5.618854375365613e+16,13957.0,3.887433348026952e+25,3.887433348026952e+25,6119637.9184626,1.5742103775409017e-17,2.4839583067307797e-13,99.99999999997516,90-100%
4677.0,6018.0,5160.0,0.0,4.012866e-12,4.012866e-12,100.0,0.8574277168494516,14.257228315054835,10-25%
242477180.0,11028939.0,3.0,0.0,0.00267426529968048,0.00267426529968048,100.0,2.7201165950777316e-07,99.99997279883405,90-100%
930239.0,1.0684717425385404e+16,189492.0,9939.0,9939.34085289682,0.340852896819983,0.003429330997544384,1.7734863024996182e-11,99.99999999822651,90-100%
1.1361818762806465e+26,2.6158016708773232e+17,9571.0,2.972026450395339e+25,2.9720264503953385e+25,5211071829.352277,1.7533733014587072e-14,3.65891654040803e-14,99.99999999999635,90-100%
45272290988879.0,207067103282.0,89038327041.0,5343433.0,5343433.10304384,0.10304384011042383,1.9284201396986856e-06,0.42999745314320026,57.00025468567998,50-75%
6173.0,991.0,252.0,0.0,4.561847e-12,4.561847e-12,100.0,0.2542885973763875,74.57114026236124,50-75%
5.186245665710504e+22,3112851.0,6381.0,161109165731.0,161109165731.5971,0.5970936088,3.706143012339469e-10,0.0020498893136870347,99.7950110686313,90-100%
4162.0,2439649223.0,4460.0,0.0,1.0153801503606e-05,1.0153801503606e-05,100.0,1.8281316666154181e-06,99.99981718683334,90-100%
4.1167740234415814e+22,37805035076364.0,15794393.0,1.556347213357263e+18,1.556347213357263e+18,183.808927489394,1.1810277675306907e-14,4.177854343501132e-07,99.99995822145657,90-100%
87.0,6136.0,291.0,0.0,5.08515e-13,5.08515e-13,100.0,0.04742503259452412,95.25749674054758,90-100%
12.0,82140477006674.0,10184514475.0,0.0,0.000985563509906388,0.000985563509906388,100.0,0.00012398898626036098,99.98760110137397,90-100%
991.0,3020.0,1939.0,0.0,1.071271e-12,1.071271e-12,100.0,0.6420529801324504,35.794701986754966,25-50%
2439649221.0,4435.0,1712.0,0.0,6.643164828783e-06,6.643164828783e-06,100.0,0.38602029312288616,61.39797068771139,50-75%
5073.0,1719639408.0,560.0,0.0,8.723727875904e-06,8.723727875904e-06,100.0,3.256496666654664e-07,99.99996743503333,90-100%
2.0,475237053971.0,5741.0,0.0,9.5047409646e-07,9.5047409646e-07,100.0,1.2080286989470161e-08,99.99999879197131,90-100%
96.0,6742746299.0,252169272.0,0.0,6.23095394592e-07,6.23095394592e-07,100.0,0.03739860003888899,96.2601399961111,90-100%
415.0,5588.0,2337.0,0.0,1.349165e-12,1.349165e-12,100.0,0.41821760916249107,58.178239083750896,50-75%
2.5235250668290426e+37,1076364245246795.0,460360473.0,2.7162309921876174e+34,2.716230992187617e+34,4.416847509046828e+18,1.6260942172261854e-14,4.276995218235309e-07,99.99995723004783,90-100%
230.0,2286.0,64.0,0.0,5.1106e-13,5.1106e-13,100.0,0.02799650043744532,97.20034995625547,90-100%
101.0,3041954472.0,3096.0,0.0,3.07237088976e-07,3.07237088976e-07,100.0,1.0177667116643157e-06,99.99989822332883,90-100%
732559743.0,57761854905.0,9608602.0,42.0,42.30697070939838,0.3069707093983801,0.7255795067600702,0.00016634857062334849,99.98336514293766,90-100%
2.0,7.273717431349842e+16,9070.0,0.0,0.1454743486269787,0.1454743486269787,100.0,1.2469552310223314e-13,99.99999999998754,90-100%
5590.0,5925.0,5220.0,0.0,3.94095e-12,3.94095e-12,100.0,0.8810126582278481,11.89873417721519,10-25%
292.0,5372.0,126.0,0.0,1.531832e-12,1.531832e-12,100.0,0.02345495160089352,97.65450483991064,90-100%
107.0,6196.0,5924.0,0.0,2.9104e-14,2.9104e-14,100.0,0.9561007101355713,4.389928986442866,0-10%
2287.0,5317.0,662.0,0.0,1.0645985e-11,1.0645985e-11,100.0,0.12450630054542035,87.54936994545797,75-90%
25.0,6017.0,5121.0,0.0,2.24e-14,2.24e-14,100.0,0.8510885823500083,14.891141764999169,10-25%
1.0,1014296079632.0,17869.0,0.0,1.014296061763e-06,1.014296061763e-06,100.0,1.7617143907805607e-08,99.99999823828561,90-100%
3564.0,454.0,27.0,0.0,1.521828e-12,1.521828e-12,100.0,0.05947136563876652,94.05286343612335,90-100%
9693092165360.0,371648137.0,1.0,3602.0,3602.4196353322477,0.41963533224776894,0.011648707666703199,2.690717106971533e-09,99.9999997309283,90-100%
3020.0,288.0,233.0,0.0,1.661e-13,1.661e-13,100.0,0.8090277777777778,19.09722222222222,10-25%
7166521.0,24.0,1.0,0.0,1.64829983e-10,1.64829983e-10,100.0,0.041666666666666664,95.83333333333334,90-100%
4.8139217345709065e+28,67642283326728.0,12931679473.0,3.255624057896596e+24,3.255624057896596e+24,176136264.133425,5.410215092439871e-15,0.00019117745346556344,99.98088225465345,90-100%
4121.0,4089.0,263.0,0.0,1.5766946e-11,1.5766946e-11,100.0,0.06431890437759843,93.56810956224015,90-100%
61081894.0,48667648.0,2.0,0.0,0.002972711994201524,0.002972711994201524,100.0,4.10950617543712e-08,99.99999589049382,90-100%
4165.0,1725540768.0,136.0,0.0,7.18687673228e-06,7.18687673228e-06,100.0,7.881587182528973e-08,99.99999211841282,90-100%
65298992026.0,120194877351.0,161.0,7848.0,7848.60432719586,0.604327195859287,0.007699804585195599,1.3394913622636223e-09,99.99999986605086,90-100%
3.402823669209385e+38,5100.0,3878.0,4.158250523773868e+23,4.1582505237738685e+23,47000000.0,1.1302830296368147e-14,0.7603921568627451,23.96078431372549,10-25%
1451.0,661.0,380.0,0.0,4.07731e-13,4.07731e-13,100.0,0.5748865355521936,42.511346444780635,25-50%
1.0466609717084483e+23,758090934595556.0,5.0,7.934641942471452e+19,7.93464194247145e+19,6420.03497064867,8.091146414918103e-15,6.595514827871562e-15,99.99999999999935,90-100%
287.0,4137.0,535.0,0.0,1.033774e-12,1.033774e-12,100.0,0.12932076383853033,87.06792361614697,75-90%
4973301299355288.0,210021979445221.0,71733513462420.0,687750207558.0,687750207558.1138,0.11375746059640168,1.654051999494153e-11,0.34155241109481066,65.84475889051893,50-75%
7.914901778218559e+17,2294416197065.0,783899.0,1816007263363.0,1816007263363.9644,0.9643147434147794,5.3100819741683564e-11,3.4165510207030344e-07,99.99996583448979,90-100%
